City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saint-Joseph,RE,-21.3667,55.6167,77.0,83,75,18.41,light rain
79,Sur,OM,22.5667,59.5289,80.06,40,0,6.4,clear sky
80,Paamiut,GL,61.994,-49.6678,30.06,65,100,20.8,overcast clouds
81,Santa Maria,BR,-29.6842,-53.8069,80.6,65,20,14.97,few clouds
82,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,20,10.36,few clouds
83,Grand Gaube,MU,-20.0064,57.6608,77.0,83,2,3.0,clear sky
84,Nikolskoye,RU,59.7035,30.7861,21.99,58,40,4.47,scattered clouds
85,Lagoa,PT,39.05,-27.9833,59.38,81,52,16.93,broken clouds
86,Nyurba,RU,63.2842,118.3319,4.32,94,98,3.8,overcast clouds
87,Port Hedland,AU,-20.3167,118.5667,73.4,60,35,13.8,scattered clouds
88,Port Elizabeth,ZA,-33.918,25.5701,68.0,73,90,9.22,light rain
89,Cockburn Town,TC,21.4612,-71.1419,80.6,57,20,11.5,few clouds
90,Praia,CV,14.9215,-23.5087,78.8,53,0,19.57,clear sky
91,Butaritari,KI,3.0707,172.7902,80.98,80,100,11.21,overcast clouds
92,Stromness,GB,58.965,-3.296,46.4,87,75,11.5,broken clouds
93,Chincha Alta,PE,-13.4099,-76.1323,75.99,78,0,8.05,clear sky
94,Porto Uniao,BR,-26.2381,-51.0783,77.05,56,91,4.54,overcast clouds
95,Katsuura,JP,35.1333,140.3,53.6,71,75,8.05,broken clouds
96,Axim,GH,4.8699,-2.2405,82.72,69,100,10.31,overcast clouds
97,Kahului,US,20.8947,-156.47,68.0,68,1,11.5,clear sky
98,Yerbogachen,RU,61.2767,108.0108,11.64,95,82,8.39,broken clouds
99,Kavaratti,IN,10.5669,72.642,83.35,71,2,8.28,clear sky
100,Nantucket,US,41.2835,-70.0995,32.0,74,40,31.07,scattered clouds
101,Whitehorse,CA,60.7161,-135.0538,12.2,79,90,6.91,light snow
102,San Jeronimo,PE,-11.9472,-75.2829,59.81,53,100,1.57,overcast clouds
103,Victoria,HK,22.2855,114.1577,75.0,86,5,5.77,clear sky
104,Lebu,CL,-37.6167,-73.65,59.27,73,30,11.03,scattered clouds
105,Guerrero Negro,MX,27.9769,-114.0611,66.0,54,20,8.46,few clouds
106,Mahebourg,MU,-20.4081,57.7,78.8,78,40,6.91,light rain
107,Mount Gambier,AU,-37.8333,140.7667,60.8,88,0,11.5,clear sky
108,Manzhouli,CN,49.6,117.4333,16.32,91,100,6.42,overcast clouds
109,Hermanus,ZA,-34.4187,19.2345,66.99,65,100,1.99,overcast clouds
110,Shiringushi,RU,53.8485,42.7676,27.3,96,100,7.23,overcast clouds
111,Naze,JP,28.3667,129.4833,66.24,88,22,6.69,few clouds
112,New Norfolk,AU,-42.7826,147.0587,55.99,72,0,1.7,clear sky
113,Krutinka,RU,56.0055,71.5113,24.4,82,100,16.31,overcast clouds
114,Shemonaikha,KZ,50.6328,81.9056,17.22,75,4,7.23,clear sky
115,Burnie,AU,-41.0667,145.9167,57.99,72,32,8.99,scattered clouds
116,Zyryanka,RU,65.75,150.85,-21.91,91,0,8.99,clear sky
117,Talnakh,RU,69.4865,88.3972,-25.58,93,38,9.19,scattered clouds
118,Tabou,CI,4.423,-7.3528,82.42,74,2,10.42,light rain
119,Bengkulu,ID,-3.8004,102.2655,76.86,88,100,4.32,overcast clouds
120,Isangel,VU,-19.55,169.2667,75.76,83,79,11.43,moderate rain
121,Abapo,BO,-18.8333,-63.4667,74.97,45,86,7.11,overcast clouds
122,Yellowknife,CA,62.456,-114.3525,24.01,73,75,10.36,broken clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,69.01,49,0,13.8,clear sky
124,Chuy,UY,-33.6971,-53.4616,71.6,54,0,7.05,clear sky
125,Sangar,RU,63.9242,127.4739,2.1,94,100,12.73,light snow
126,Saskylakh,RU,71.9167,114.0833,-32.12,97,0,4.72,clear sky
127,Poli,TZ,-3.3333,36.8,82.4,60,40,9.22,scattered clouds
128,Alyangula,AU,-13.8483,136.4192,81.75,79,83,10.38,broken clouds
129,East London,ZA,-33.0153,27.9116,66.2,100,90,8.05,light rain
130,Qasigiannguit,GL,68.8193,-51.1922,21.2,53,75,17.27,broken clouds
131,Norman Wells,CA,65.282,-126.8329,-4.0,77,75,21.85,snow
132,Cherskiy,RU,68.75,161.3,-31.99,100,8,1.74,clear sky
133,Batagay,RU,67.6333,134.6333,3.04,83,95,5.48,overcast clouds
134,Benghazi,LY,32.1167,20.0667,69.44,46,75,10.07,broken clouds
135,Atuona,PF,-9.8,-139.0333,80.1,77,48,13.49,scattered clouds
136,Grootfontein,NA,-19.5667,18.1167,70.43,71,99,5.21,light rain
137,Aklavik,CA,68.2191,-135.0107,-9.4,70,75,8.05,broken clouds
138,San Andres,CO,12.5847,-81.7006,84.2,65,20,17.27,few clouds
139,Hit,IQ,33.6416,42.8251,65.84,36,3,7.52,clear sky
140,Atar,MR,20.5169,-13.0499,93.02,9,0,11.65,clear sky
141,Ribeira Grande,PT,38.5167,-28.7,62.6,82,75,17.27,broken clouds
142,Tilichiki,RU,60.4667,166.1,-6.29,96,100,9.91,overcast clouds
143,Dikson,RU,73.5069,80.5464,-31.79,92,0,4.68,clear sky
144,Urucui,BR,-7.2294,-44.5561,83.73,73,100,3.0,heavy intensity rain
145,Chokurdakh,RU,70.6333,147.9167,-16.96,79,100,8.5,overcast clouds
146,Mitsamiouli,KM,-11.3847,43.2844,83.43,73,82,3.36,broken clouds
147,Half Moon Bay,US,37.4636,-122.4286,57.0,82,75,5.08,broken clouds
148,San Quintin,MX,30.4833,-115.95,63.01,63,0,8.14,clear sky
149,Chicama,PE,-7.8447,-79.1469,73.4,78,85,9.22,overcast clouds
150,Pevek,RU,69.7008,170.3133,-20.78,88,98,1.41,overcast clouds
151,Salisbury,GB,51.0693,-1.7957,52.0,66,40,20.71,scattered clouds
152,San Jose,US,37.3394,-121.895,57.0,76,90,1.03,overcast clouds
153,Hualmay,PE,-11.0964,-77.6139,76.96,66,46,11.16,scattered clouds
154,Lac Du Bonnet,CA,50.2536,-96.0612,45.0,99,42,13.0,scattered clouds
155,Bezdan,RS,45.8502,18.9259,39.2,87,0,2.3,clear sky
156,Juneau,US,58.3019,-134.4197,30.2,86,90,21.85,light snow
157,Meulaboh,ID,4.1363,96.1285,77.94,86,99,4.14,overcast clouds
158,Tucuman,AR,-26.8241,-65.2226,62.6,94,90,4.61,mist
159,Shahrud,IR,36.4182,54.9763,51.37,64,88,11.79,overcast clouds
160,Visnes,NO,59.3556,5.2242,39.99,81,75,11.5,broken clouds
161,Narasannapeta,IN,18.4167,84.05,75.09,74,38,6.02,scattered clouds
162,Itarema,BR,-2.9248,-39.9167,85.91,64,47,14.36,scattered clouds
163,Labuhan,ID,-6.8844,112.2051,80.13,83,93,7.63,moderate rain
164,Esperance,AU,-33.8667,121.9,62.6,88,0,12.66,clear sky
165,Albany,US,42.6001,-73.9662,35.01,25,1,3.0,clear sky
166,Redmond,US,47.674,-122.1215,48.99,86,54,9.53,broken clouds
167,Kapaa,US,22.0752,-159.319,69.8,73,90,18.41,light rain
168,Bajos De Haina,DO,18.4154,-70.0332,84.2,70,40,11.5,scattered clouds
169,Kavieng,PG,-2.5744,150.7967,82.33,76,4,11.32,light rain
170,Pathein,MM,16.7833,94.7333,74.82,80,76,9.1,broken clouds
171,Komsomolskiy,UZ,40.4272,71.7189,55.4,26,90,6.91,overcast clouds
172,Adeje,ES,28.1227,-16.726,71.01,52,20,17.27,few clouds
173,Matagami,CA,49.7502,-77.6328,28.4,43,1,14.97,clear sky
174,Saint-Ambroise,CA,48.5501,-71.3324,19.0,52,30,12.66,scattered clouds
175,Alofi,NU,-19.0595,-169.9187,75.2,100,100,4.61,light rain
176,Ponta Do Sol,PT,32.6667,-17.1,66.0,52,20,13.8,few clouds
177,Isla Mujeres,MX,21.2311,-86.731,82.4,65,75,5.75,broken clouds
178,Khandyga,RU,62.6667,135.6,1.02,93,99,5.99,overcast clouds
179,Lat Yao,TH,15.751,99.7893,84.0,76,0,13.51,clear sky
180,Japura,ID,-0.3167,102.35,75.04,96,82,2.04,broken clouds
181,Gharghoda,IN,22.1667,83.35,82.0,32,75,4.74,broken clouds
182,Vysokogornyy,RU,50.1167,139.15,10.92,95,49,2.01,scattered clouds
183,Maple Creek,CA,49.9168,-109.4848,55.4,28,34,18.41,scattered clouds
184,Beringovskiy,RU,63.05,179.3167,-7.4,99,100,12.71,overcast clouds
185,Mehamn,NO,71.0357,27.8492,30.2,86,40,36.82,light snow
186,Port Augusta,AU,-32.5,137.7667,71.6,73,40,8.05,light rain
187,San Juan,AR,-31.5375,-68.5364,68.77,54,95,2.8,overcast clouds
188,Kalmunai,LK,7.4167,81.8167,76.17,83,100,4.61,overcast clouds
189,Capinzal,BR,-27.3436,-51.6119,87.3,39,0,5.21,clear sky
190,Nicoya,CR,10.1483,-85.452,87.8,48,40,17.27,scattered clouds
191,La Macarena,CO,2.1837,-73.7849,86.76,54,99,6.24,overcast clouds
192,Tateyama,JP,34.9833,139.8667,55.99,74,28,9.95,scattered clouds
193,Le Mars,US,42.7942,-96.1656,42.8,52,1,14.97,clear sky
194,Seduva,LT,55.7667,23.7667,26.6,68,40,9.22,scattered clouds
195,Dingle,PH,10.9995,122.6711,77.16,83,23,5.75,few clouds
196,Sinnamary,GF,5.3833,-52.95,81.45,68,40,8.48,scattered clouds
197,Salalah,OM,17.0151,54.0924,80.6,69,0,2.3,clear sky
198,Waddan,LY,29.1614,16.139,80.83,14,0,11.61,clear sky
199,Morehead,US,37.2711,-87.1764,45.0,45,1,11.5,clear sky
200,Beloha,MG,-25.1667,45.05,78.51,71,22,6.08,few clouds
201,Thompson,CA,55.7435,-97.8558,39.2,60,20,6.91,few clouds
202,Vanavara,RU,60.34,102.2797,20.73,92,100,11.95,overcast clouds
203,Zhigansk,RU,66.7697,123.3711,-18.87,90,94,8.12,overcast clouds
204,Yongan,CN,39.6957,113.6871,34.92,90,99,8.01,light snow
