City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Puerto Colombia,CO,2021-01-30 21:07:06,10.9878,-74.9547,82.4,65,0,19.57
68,Port Alfred,ZA,2021-01-30 21:07:06,-33.5906,26.891,64.99,91,49,4.45
69,Kieta,PG,2021-01-30 21:07:06,-6.2167,155.6333,81.79,78,81,13.96
70,Vaini,TO,2021-01-30 21:07:07,-21.2,-175.2,78.8,94,75,6.91
71,Kahului,US,2021-01-30 21:04:41,20.8947,-156.47,77.0,69,40,18.41
72,Along,IN,2021-01-30 21:07:07,28.1667,94.7667,46.26,80,0,1.88
73,Allada,BJ,2021-01-30 21:06:24,6.6655,2.1514,84.2,79,20,10.36
74,Mufulira,ZM,2021-01-30 21:07:07,-12.5498,28.2407,66.0,91,100,0.67
75,Randers,DK,2021-01-30 21:05:27,56.4667,10.05,32.0,100,75,4.61
76,Nador,MA,2021-01-30 21:07:08,35.174,-2.9287,62.6,82,40,16.11
77,Surazh,RU,2021-01-30 21:07:08,53.0175,32.3918,23.23,99,100,2.68
78,Kismayo,SO,2021-01-30 21:07:08,-0.3582,42.5454,76.66,76,50,14.12
79,Lebu,CL,2021-01-30 21:07:08,-37.6167,-73.65,61.45,69,6,12.64
80,Puro,PH,2021-01-30 21:07:08,12.4841,123.3827,76.12,79,87,16.87
81,Barrow,US,2021-01-30 21:07:08,71.2906,-156.7887,-9.4,70,90,8.05
82,Punta Arenas,CL,2021-01-30 21:05:49,-53.15,-70.9167,57.2,51,0,26.46
83,Thompson,CA,2021-01-30 21:06:41,55.7435,-97.8558,14.0,85,75,2.24
84,Ilulissat,GL,2021-01-30 21:07:09,69.2167,-51.1,3.2,72,90,5.75
85,Tiksi,RU,2021-01-30 21:06:56,71.6872,128.8694,-27.58,86,100,5.17
86,Port Macquarie,AU,2021-01-30 21:07:09,-31.4333,152.9167,73.99,99,50,7.54
87,Vikindu,TZ,2021-01-30 21:07:09,-7.0067,39.2985,78.4,85,97,9.22
